Brain Region,Brain Area,Target,Method,Submethod,Model,Effect,Wake effectiveness,NREM effectiveness,REM effectiveness,Manipulation duration ( in relation to effectiveness),Rodent,Strain,Sex,Age,Sleep target,Target maturation timeline,Cognitive side effects,Metabolic side effects,Other effects,Reference,Author,Year,link,Impact factor at publication 
Forebrain,Basal Forebrain,BF,Chemogenetic,hM3Dq,chemogenetic activation of hM3Dq+ Ach neurons (BF),destabilized SWS,,,,,Mice,ChAT-IRES-Cre,,Adult,NREM,,,,,Anaclet 2015 (Harvard),Anaclet,2015,https://www.nature.com/articles/ncomms9744 ,
Forebrain,Basal Forebrain,BF,Chemogenetic,hM3Dq,chemogenetic activation of hM3Dq+ Glu neurons (BF),destabilized sleep,,,,,Mice,Vglut2-IRES-Cre,,Adult,NREM,,,,,Anaclet 2015 (Harvard),Anaclet,2015,https://www.nature.com/articles/ncomms9744 ,
Forebrain,Basal Forebrain,BF,Chemogenetic,hM3Dq,chemogenetic activation of hM3Dq+ GABA neurons (BF),Increase wake (less REM and SWS),,,,,Mice,Vgat-IRES-Cre,,Adult,Both,,,,,Anaclet 2015 (Harvard),Anaclet,2015,https://www.nature.com/articles/ncomms9744 ,
Forebrain,Hypothalamus,LH,Chemogenetic,hM3Dq,Activation of GABAergic (VGAT+) LH neurons innervating VLPO,"Promotes wake for several hours, uninterupted 4-6 hrs",,,,,Mice,Vgat-IRES-cre,,Adult,Both,"8-12 weeks, 20-25g",No,No,prominent quantitative sleep rebound observed,"Venner, A (2016)",Venner,2016,https://www.sciencedirect.com/science/article/pii/S0960982216306121,
Brainstem,Pons,SLD,Genetic,Gene casette,Conditional Knock-out Mice for vglut2,REM sleep decreased and fragmentation,,,"-38,19 %",24,Mice,Vglut2flox/flox,Male,Adult,REM,,No,No, Glu+GABA in SLD contribute to REM atonia. Glu in cLDT and SLD important for REM gen.,M Krenzer (2011),Krenzer,2011,https://doi.org/10.1371/journal.pone.0024998,
Brainstem,Medulla,VM,Optogenetic,ChR2,optogenetic activation of GABAergic neurons,12-fold increase in REM sleep. Increased probability of transitions from NREM sleep to REM sleep. Prolonged REM sleep episodes when activated during REM sleep period.,,,,,Mice,GAD2-Cre,Both,Adult,REM,6-12 weeks,,,,"F Weber, 2015",Weber,2015,https://www.nature.com/articles/nature14979 ,
Brainstem,Midbrain,VM,Optogenetic,ChR2,optogenetic activation of glutamatergic neurons,Induced wakefulness,,,,,Mice,GAD2-Cre,Both,Adult,Both,6-12 weeks,,,,"F Weber, 2015",Weber,2015,https://www.nature.com/articles/nature14979 ,
Brainstem,Midbrain,VM,Optogenetic,Arch,Optogenetic inhibition of GABAergic neurons,Caused 41% reduction of REM sleep duration,,,"-40,67 %",1,Mice,GAD2-Cre,Both,Adult,REM,6-12 weeks,,,,"F Weber, 2016",Weber,2015,https://www.nature.com/articles/nature14980,
Forebrain,Hypothalamus,DMH,Optogenetic,ChR2,Optogenetic activation of POA/RPA projecting galaninergic neurons,Supressed REM sleep and promoted NREM sleep.,,"14,80 %","-10,20 %","0,5",Mice,GAL-Cre,Both,Adult,REM,6-12 weeks,,,AAV2-EF1a-DIO–eYFP,"Chen, 2018",Chen,2018,https://doi.org/10.1016/j.neuron.2018.02.005 ,
Forebrain,Hypothalamus,DMH,Optogenetic,iC++,Optogenetic inhibition of POA/RPA projecting galaninergic neurons,Increased REM sleep and decreased NREM sleep.,,"-15,10 %","16,20 %","0,5",Mice,GAL-Cre,Both,Adult,NREM,6-12 weeks,,,,"Chen, 2018",Chen,2018,https://doi.org/10.1016/j.neuron.2018.02.005 ,
